                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.21072,                0.17278,                0.87165,                0.98872,                0.99878,                  0.995,                0.97208,                0.24964,                0.19276,                0.82936,             0.00011671,             0.00011671,             0.00011671
                      2,                0.23781,                0.18602,                0.87975,                 0.9853,                 0.9944,                  0.995,                0.95344,                0.28573,                0.21046,                0.84672,             0.00023338,             0.00023338,             0.00023338
                      3,                0.28085,                0.21525,                0.90107,                 0.9818,                0.99259,                0.99495,                0.93525,                0.35341,                0.24786,                 0.9035,             0.00034769,             0.00034769,             0.00034769
                      4,                0.31474,                0.23838,                0.92337,                0.97852,                 0.9886,                0.99488,                 0.9342,                0.33713,                0.24528,                0.88544,              0.0003464,              0.0003464,              0.0003464
                      5,                0.33631,                0.25938,                0.93427,                0.94804,                0.97314,                0.99464,                0.92667,                0.36436,                0.26343,                0.90988,             0.00034286,             0.00034286,             0.00034286
                      6,                0.33016,                0.26686,                0.93763,                0.97645,                0.98716,                0.99384,                0.92577,                  0.354,                0.26982,                0.89789,             0.00033933,             0.00033933,             0.00033933
                      7,                0.32807,                0.27023,                0.93171,                0.96077,                0.98774,                0.99456,                0.91731,                0.35941,                0.26883,                  0.904,             0.00033579,             0.00033579,             0.00033579
                      8,                0.33937,                0.27261,                0.93496,                0.96766,                0.97655,                0.99461,                0.91378,                0.36875,                0.26228,                0.91426,             0.00033226,             0.00033226,             0.00033226
                      9,                0.32614,                0.26382,                0.94014,                0.94388,                0.99721,                0.99492,                 0.9221,                0.35765,                0.25968,                0.90024,             0.00032873,             0.00032873,             0.00032873
                     10,                0.32261,                0.25803,                0.93059,                0.98207,                0.99387,                0.99492,                0.92772,                0.36575,                0.25826,                0.90497,             0.00032519,             0.00032519,             0.00032519
                     11,                0.32613,                0.25121,                0.93336,                0.97318,                0.99188,                0.99452,                0.91927,                0.36149,                0.26564,                0.90413,             0.00032166,             0.00032166,             0.00032166
                     12,                0.32772,                 0.2666,                0.92488,                 0.9751,                0.98047,                0.99484,                0.91503,                0.37004,                0.25993,                0.91101,             0.00031812,             0.00031812,             0.00031812
                     13,                0.33126,                0.25635,                0.93008,                 0.9805,                0.99226,                0.99469,                0.92413,                0.35551,                0.25838,                0.89867,             0.00031459,             0.00031459,             0.00031459
                     14,                0.34429,                0.26561,                0.93416,                 0.9719,                0.98948,                0.99434,                0.92245,                0.38137,                0.28133,                0.92577,             0.00031105,             0.00031105,             0.00031105
                     15,                0.34874,                0.27087,                0.93951,                0.96563,                0.98574,                 0.9937,                0.92663,                0.36776,                0.27134,                 0.9063,             0.00030752,             0.00030752,             0.00030752
                     16,                0.32721,                0.25103,                0.92835,                0.97688,                0.99021,                0.99485,                0.93221,                0.36326,                0.25828,                0.90443,             0.00030399,             0.00030399,             0.00030399
                     17,                0.34092,                0.26208,                0.93904,                0.97191,                 0.9925,                0.99424,                0.92569,                0.37312,                0.26657,                0.91896,             0.00030045,             0.00030045,             0.00030045
                     18,                0.32618,                0.24823,                0.93774,                0.95035,                0.99795,                0.99466,                0.92234,                0.36445,                0.26156,                0.91074,             0.00029692,             0.00029692,             0.00029692
                     19,                0.33583,                0.25355,                0.93148,                0.95063,                0.99523,                0.99432,                0.92459,                0.34942,                0.25239,                0.89633,             0.00029338,             0.00029338,             0.00029338
                     20,                0.32212,                0.24989,                0.92651,                0.96695,                0.99781,                0.99393,                0.92183,                0.36836,                0.25634,                0.92448,             0.00028985,             0.00028985,             0.00028985
                     21,                0.32132,                0.24631,                0.93556,                0.95829,                0.99546,                0.99383,                0.92814,                0.35296,                0.24843,                0.89582,             0.00028631,             0.00028631,             0.00028631
                     22,                0.32396,                0.25331,                0.93117,                0.97084,                 0.9906,                 0.9936,                0.92895,                0.34183,                0.24791,                0.89118,             0.00028278,             0.00028278,             0.00028278
                     23,                0.31959,                0.25631,                0.92756,                0.96263,                0.98709,                0.99203,                 0.9316,                0.34764,                0.24657,                0.88948,             0.00027925,             0.00027925,             0.00027925
                     24,                0.31335,                0.24515,                0.92248,                0.97756,                0.99395,                0.99329,                0.92819,                0.34907,                0.25383,                0.89593,             0.00027571,             0.00027571,             0.00027571
                     25,                0.31804,                0.24512,                 0.9209,                0.95679,                0.98488,                0.99257,                 0.9225,                0.33903,                0.24442,                0.88934,             0.00027218,             0.00027218,             0.00027218
                     26,                0.31474,                0.24597,                0.92722,                0.95105,                0.99914,                 0.9949,                0.93536,                0.34374,                0.25784,                0.89595,             0.00026864,             0.00026864,             0.00026864
                     27,                0.31222,                0.24346,                0.92165,                0.95076,                0.98942,                0.99433,                0.93427,                0.33634,                0.25108,                 0.8869,             0.00026511,             0.00026511,             0.00026511
                     28,                0.31894,                0.23805,                0.92569,                0.95793,                0.99742,                0.99465,                0.93128,                0.33719,                0.23878,                0.88052,             0.00026157,             0.00026157,             0.00026157
                     29,                0.30554,                0.22874,                0.91878,                 0.9795,                0.99436,                 0.9947,                  0.936,                0.33594,                0.23939,                 0.8799,             0.00025804,             0.00025804,             0.00025804
